2 1 535314 38.7 48 24 ? ? ? ? 1 1 ? 1 1 ? 1 ? 34 63 ? ? 1 2 00000 00000 00000 2 
2 1 533793 38.9 44 14 3 1 1 1 2 3 2 ? ? ? ? 2 33 64 ? ? 1 2 00000 00000 00000 2 
1 1 529399 39.30 ? ? 4 3 6 2 4 4 2 1 3 4.00 4 4 75.00 ? 3 4.30 2 1 02207 00000 00000 1 
1 1 533836 ? 100 ? 3 3 4 2 ? 4 4 2 1 2 ? ? 68 64 3 2 1 1 02209 00000 00000 2 
2 1 528804 38.60 48 20 3 1 1 1 1 3 2 2 1 ? 3 2 50.00 7.30 1 ? 1 2 03111 00000 00000 1 
2 1 535163 38.8 48 40 1 1 3 1 3 3 4 2 ? ? ? 5 41 65 ? ? 1 1 04124 00000 000000 2 
2 1 528247 38.00 48 20 3 3 4 1 1 4 2 2 ? 5.00 ? 2 49.00 8.30 1 ? 1 2 00400 00000 00000 1 
2 1 528996 38.60 52 20 1 1 1 1 3 3 2 1 1 ? 1 3 36.00 6.60 1 5.00 1 2 00000 00000 00000 1 
1 1 533928 37.8 60 24 1 ? 3 2 ? 4 4 2 3 2 ? 5 52 75 ? ? 3 1 02205 00000 00000 2 
2 1 528248 38.00 42 40 3 1 1 1 3 3 1 ? ? ? ? ? ? ? ? ? 1 2 03111 00000 00000 2 
2 1 528134 ? ? 12 1 1 2 1 2 1 2 3 1 ? 1 3 44.00 7.50 2 ? 1 2 00000 00000 00000 1 
1 1 527916 ? ? ? ? ? ? ? 4 ? ? 1 1 ? ? 5 35 58 2 1 1 1 04205 00000 00000 2 
1 1 530431 38.30 42 24 ? ? ? 1 ? ? ? ? ? ? ? ? 40.00 8.50 ? ? 2 1 07113 00000 00000 2 
2 1 535176 39.5 60 10 3 ? ? 2 3 3 2 2 1 ? 3 ? 38 56 1 ? 1 2 00000 00000 00000 2 
1 1 533942 38 66 20 1 3 3 1 5 3 1 1 1 ? 3 ? 46 46 3 2 3 1 06209 00000 00000 2 
1 1 528523 38.70 76 ? 1 1 5 2 3 3 2 2 2 ? 4 4 50.00 8.00 ? ? 1 1 02208 00000 00000 1 
1 1 534925 39.4 120 48 ? ? 5 1 ? 3 3 1 ? ? 4 ? 56 64 1 2 3 2 01400 00000 00000 2 
1 1 527916 38.30 40 18 1 1 1 1 3 1 1 ? ? ? 2 1 43.00 5.90 1 ? 1 2 00000 00000 00000 1 
2 1 528299 ? 44 24 1 1 1 1 3 3 1 2 1 ? ? 1 ? 6.30 ? ? 1 2 03111 00000 00000 2 
1 1 530254 38.40 104 40 1 1 3 1 2 4 2 2 3 6.50 ? 4 55.00 8.50 ? ? 1 1 02124 00000 00000 2 
1 1 535085 ? 65 24 ? ? ? 2 5 ? 4 3 1 ? ? 5 ? ? ? ? 3 1 03205 00000 00000 2 
2 1 532985 37.5 44 20 1 1 3 1 ? 1 1 ? ? ? 1 ? 35 7.2 ? ? 1 2 00000 00000 00000 2 
2 1 527677 39.00 86 16 3 3 5 ? 3 3 3 ? 2 ? ? ? 68.00 5.80 3 6.00 2 1 05400 00000 00000 1 
1 1 535292 38.5 129 48 3 3 3 1 2 4 3 1 3 2 ? ? 57 66 3 2 1 1 02206 00000 00000 2 
1 1 529729 ? 104 ? 3 3 5 2 2 4 3 ? 3 ? 4 4 69.00 8.60 2 3.40 2 1 02207 00000 00000 1 
2 1 518476 ? ? ? 3 4 6 ? 4 ? 4 ? ? ? ? ? ? ? ? ? 2 1 03400 00000 00000 1 
1 1 527929 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 1 1 02208 00000 00000 2 
1 1 535130 38.2 60 30 1 1 3 1 3 3 1 2 1 ? 3 2 48 66 ? ? 1 1 06112 00000 00000 2 
1 1 523190 ? 68 14 ? ? 4 1 4 ? ? ? 1 4.30 ? ? ? ? 2 2.80 2 1 04205 00000 00000 1 
1 1 533968 ? 60 30 3 3 4 2 5 4 4 1 1 ? 4 ? 45 70 3 2 1 1 06111 03111 00000 2 
2 1 528151 38.50 100 ? 3 3 5 2 4 3 4 2 1 ? 4 5 ? ? ? ? 3 2 01111 00000 00000 1 
1 1 530239 38.40 84 30 3 1 5 2 4 3 3 2 3 6.50 4 4 47.00 7.50 3 ? 2 1 02300 00000 00000 2 
2 1 528305 37.80 48 14 ? ? 1 1 3 ? 2 1 3 5.30 1 ? 35.00 7.50 ? ? 1 2 03111 00000 00000 1 
